,category,name,lon,lat,day,open,close
74,musicvenues,White Post,-0.0225310173850923,51.5417586663375,3,480,1380
75,musicvenues,The Garage,-0.103971,51.546742,3,1140,60
76,musicvenues,The Artworks Elephant,-0.0985406711697579,51.4931476501709,3,480,0
77,musicvenues,The Moustache Bar,-0.074802,51.552331,3,1170,60
78,musicvenues,Source Below,-0.1370668,51.5108226,3,1020,0
79,musicvenues,Great Suffolk Street Warehouse,-0.1013273,51.5043536,3,420,1380
80,musicvenues,O2 Forum,-0.1419179,51.5520286,3,1080,0
81,musicvenues,The Crystal,0.0162407456367161,51.5072956804427,3,600,1020
82,musicvenues,Union Chapel,-0.102769,51.54437,3,570,1080
83,musicvenues,93 Feet East,-0.0715507998863814,51.5212392528136,3,1020,1380
84,musicvenues,St Martin's Theatre,-0.127672,51.512847,3,600,1200
85,musicvenues,The Venue,-0.036570240498117,51.475823140255,3,600,1200
86,musicvenues,Arch1,0.00461330209964217,51.5222066460632,3,1050,0
87,musicvenues,Tara Theatre,-0.187878,51.44179,3,600,1080
88,musicvenues,Under The Bridge,-0.190309002995491,51.4811325073242,3,600,1080
89,musicvenues,AlleyCat Club,-0.129185006022453,51.515308380127,3,1020,180
90,musicvenues,KOKO,-0.138359069824219,51.5346440882812,3,1140,1380
91,musicvenues,oil on canvas,-0.126236,51.5002,3,540,1080
92,musicvenues,The CLF Art Cafe,-0.068008,51.469866,3,1020,150
93,musicvenues,The Great Northern Railway Tavern,-0.116131,51.587984,3,660,1380
94,musicvenues,Cyprus Meze Bar & Restaurant,-0.017344,51.57267,3,1140,60
95,musicvenues,Luna Lounge,0.0090034,51.5683582,3,990,60
96,musicvenues,The Junction,-0.09963,51.467019,3,960,1380
97,musicvenues,CellarDoor,-0.119229555130005,51.5115235844158,3,960,60
98,musicvenues,The Prince Albert,-0.113720720506352,51.4616655419757,3,1260,180
99,musicvenues,Royal Academy Of Music,-0.152168,51.523622,3,420,1380
100,musicvenues,Party Pianos - The UK Duelling Pianos Show,-0.15747,51.51665,3,420,1380
101,musicvenues,Thomas A Becket,-0.077566,51.488422,3,720,210
102,musicvenues,Tape London,-0.144618398406007,51.5142764636541,3,1320,180
103,musicvenues,Fabric,-0.102471799978848,51.5196084163624,3,1320,180
104,musicvenues,jam session,-0.037135,51.4758263,3,660,120
105,musicvenues,St James Theatre,-0.142263960119093,51.4988158356587,3,840,1170
106,musicvenues,Shacklewell Arms,-0.0713196999300147,51.5523861372771,3,240,0
107,musicvenues,The Sound Lounge,-0.204504355788231,51.420185960374,3,660,1020
108,musicvenues,Royal Albert Hall,-0.177414610229825,51.5009964375442,3,540,1260
109,musicvenues,Tooting Tram and Social,-0.166769027709961,51.4269222179313,3,1020,0
110,musicvenues,Bloomsbury Theatre,-0.13258571441719,51.524951106569,3,600,1080
111,musicvenues,Bush Hall,-0.2316337,51.5065655,3,1170,1380
112,musicvenues,Conway Hall,-0.1184159,51.5195474,3,510,1350
113,musicvenues,The Midnight Rebel Band,-0.1391449,51.53476,3,510,1350
114,musicvenues,Zigfrid von Underbelly,-0.081736889127628,51.528021687624,3,720,60
