,category,name,lon,lat,day,open,close
0,restaurants,La Porchetta Pollo Bar,-0.130298037090699,51.5136346213443,2,720,0
1,restaurants,Fuckoffee,-0.0812485,51.4993814,2,420,1140
2,restaurants,Bodean's,-0.13711100353483,51.462083824343,2,720,1380
3,restaurants,Royal China,-0.155250194816181,51.5178304458283,2,720,1380
4,restaurants,Princi,-0.134387051472991,51.5138629586873,2,480,0
5,restaurants,Sake No Hana,-0.1392329553479,51.506677921246,2,1080,1380
6,restaurants,Pizza Metro Pizza,-0.1661898002693,51.460922896098,2,1080,1380
7,restaurants,Poppies,-0.1439009,51.5409693,2,660,0
8,restaurants,Spuntino,-0.133808,51.512205,2,720,0
9,restaurants,Dumplings' Legend,-0.131604999303818,51.5118217468262,2,690,1410
10,restaurants,Wahaca,-0.135030033674326,51.5185498585848,2,720,1380
11,restaurants,Ye Olde Cheshire Cheese,-0.107315,51.5143449,2,660,1380
12,restaurants,Portobello Ristorante Pizzeria,-0.197994,51.510158,2,1080,1380
13,restaurants,La Fromagerie,-0.152211421569433,51.5198559022117,2,480,1170
14,restaurants,Abu Zaad,-0.164480370707586,51.5163498013287,2,540,1380
15,restaurants,Arepa & Co,-0.0802071,51.5373195,2,600,1350
16,restaurants,Taberna do Mercado,-0.0747024939347884,51.5197434697765,2,720,1320
17,restaurants,Friends of Ours,-0.0836995,51.5291189,2,480,1020
18,restaurants,Boqueria,-0.12713936531653,51.459870028924,2,1020,1380
19,restaurants,Satay House,-0.169519,51.517626,2,1080,1380
20,restaurants,Hawksmoor Seven Dials,-0.12567396291297,51.5134998914001,2,1020,1350
21,restaurants,Cinnamon Kitchen,-0.0785229,51.5169345,2,1080,1380
22,restaurants,Beach Blanket Babylon,-0.198986,51.5143249,2,720,0
23,restaurants,Bosphorus Kebabs,-0.1762272,51.4929609,2,660,1410
24,restaurants,Dans Le Noir,-0.1062015,51.522811,2,1110,0
25,restaurants,Riverford at The Duke of Cambridge,-0.0987110343933182,51.5345940382283,2,720,1410
26,restaurants,Granger & Co,-0.19779915622354,51.514646148453,2,420,1380
27,restaurants,Mem & Laz,-0.1032254,51.5376911,2,720,1410
28,restaurants,Bageriet,-0.1261821,51.5119236,2,540,1140
29,restaurants,Kaffeine,-0.137167,51.5168726,2,450,1080
30,restaurants,MerazCafe Karahi House,-0.071025,51.520193,2,660,1380
31,restaurants,Seashell of Lisson Grove,-0.165982,51.522795,2,720,1350
32,restaurants,Zayna,-0.158385,51.514952,2,1020,1350
33,restaurants,Tea and Tattle,-0.126817002892494,51.5178680419922,2,540,1110
34,restaurants,Wild Food Cafe,-0.126376003026962,51.5145721435547,2,690,1260
35,restaurants,Granger & Co,-0.125704638943534,51.5325845472022,2,420,1380
36,restaurants,Carluccio's,-0.125749006867409,51.5115852355957,2,480,1410
37,restaurants,Mildreds,-0.144592,51.54048,2,720,1380
38,restaurants,Honest Burgers,-0.078783096863666,51.5176771368587,2,690,1380
39,restaurants,Trader Vic's,-0.150574000276853,51.5054604652401,2,1020,60
40,restaurants,Lundenwic,-0.118617,51.5129,2,420,1080
41,restaurants,Wagamama,-0.079344,51.508653,2,720,1260
42,restaurants,Saporitalia,-0.2056955,51.517086,2,720,1380
43,restaurants,Admiral Codrington,-0.165918468624657,51.4938141432655,2,690,0
44,restaurants,Royal China,-0.187244316153717,51.5105005571439,2,720,1380
45,restaurants,The Roastery Cafe,-0.14780739417243,51.466771352998,2,450,930
46,restaurants,Hoppers,-0.131750002503395,51.5135765075684,2,1050,1350
47,restaurants,The Cut,-0.107385,51.503061,2,480,0
48,restaurants,Karpo,-0.1238274,51.5298811,2,420,1350
49,restaurants,Cafe 338,-0.0632059606602997,51.52651439251,2,360,1050
50,restaurants,Byron,-0.1067367,51.5030324,2,690,1410
51,restaurants,Pilpel,-0.0772774,51.5189556,2,600,1260
52,restaurants,Pachamama,-0.1515276,51.5171822,2,720,0
53,restaurants,J+A Café,-0.101019002497196,51.5230293273926,2,480,1080
54,restaurants,Le Peche Mignon,-0.107909992126366,51.5500471393663,2,450,1020
55,restaurants,Wright Brothers Borough Market,-0.0915559,51.5054862,2,720,1320
56,restaurants,Patara,-0.1307571,51.5141961,2,1050,1350
57,restaurants,Homeslice Neal's Yard,-0.126426543278564,51.5144380966574,2,720,1380
58,restaurants,Dragon Castle,-0.098573,51.492101,2,720,1380
59,restaurants,Flesh & Buns,-0.126240480271074,51.5138810333143,2,1020,1380
60,restaurants,Old Fountain,-0.089101,51.527072,2,660,1380
61,restaurants,Kettner's,-0.13040954242843,51.513184351372,2,720,0
62,restaurants,The Pig and Butcher,-0.10682789450616,51.537442542029,2,1020,1380
63,restaurants,Mimos Cafe,-0.174005,51.5150959,2,420,1320
64,restaurants,Rabieng,-0.102785,51.539829,2,690,1380
65,restaurants,Yashin Sushi,-0.195618867874146,51.5007620563954,2,1080,1380
66,restaurants,The Gallery,-0.1902599,51.5465294,2,720,0
67,restaurants,Gold Mine,-0.187491998076439,51.5133018493652,2,720,1380
68,restaurants,Bistrotheque,-0.0560837915559814,51.5341223088385,2,1110,1350
69,restaurants,Pierino Pizza Pasta,-0.1740772,51.4951101,2,720,1410
70,restaurants,Arancina,-0.1975001,51.5098497,2,450,1350
71,restaurants,Yoshino,-0.1356747,51.5095758,2,720,1320
72,restaurants,Sagar,-0.1206465,51.5125564,2,720,1380
73,restaurants,Naru,-0.125953473951252,51.516772350748,2,1050,1350
74,restaurants,Savoy Grill,-0.120730476398416,51.5102197687511,2,720,0
75,restaurants,Champor-Champor,-0.0854034,51.5024226,2,1080,1320
76,restaurants,Mango Indian,-0.092963,51.504962,2,720,1380
77,restaurants,Ichiryu,-0.12773477943445,51.5167273946318,2,720,1410
78,restaurants,Hot Stuff,-0.126418375984764,51.4796635642281,2,720,1320
79,restaurants,German Gymnasium,-0.125419827905187,51.5323975443626,2,480,60
80,restaurants,Bombay Brasserie,-0.182583332061768,51.493942546773,2,1110,1410
81,restaurants,Albion,-0.076235,51.524137,2,480,1380
82,restaurants,Daylesford Organic,-0.1533991,51.490645,2,480,1200
83,restaurants,Cinnamon Coffee Shop,-0.0571632385253906,51.5048292310893,2,420,1080
84,restaurants,Savoir Faire,-0.1260125,51.5171949,2,720,1350
85,restaurants,Pizza Union,-0.0773585960268974,51.5175265894232,2,660,0
86,restaurants,Museum Tavern,-0.125971101400664,51.5182144172415,2,660,1410
87,restaurants,Four Corners Cafe,-0.1135442,51.5003689,2,450,1110
88,restaurants,Antepliler,-0.098629,51.578056,2,720,1410
89,restaurants,Bugis Street Brasserie,-0.183931280273902,51.4936621211568,2,720,1350
90,restaurants,Thali,-0.1834772,51.490932,2,1110,1410
91,restaurants,The Draft House,-0.0769468034392541,51.5028699547583,2,720,1380
92,restaurants,J Sheekey,-0.127622,51.510895,2,720,0
93,restaurants,Ladurée,-0.123133037598674,51.51184286271,2,480,1380
94,restaurants,Sen Viet,-0.1159522,51.529089,2,1020,1380
95,restaurants,Kêu!,-0.0816240012645721,51.5266075134277,2,480,1200
96,restaurants,Byron,-0.133756,51.512782,2,690,1410
97,restaurants,CASK Pub and Kitchen,-0.13753688795203,51.49135039773,2,720,1380
98,restaurants,Little Bay West Hampstead,-0.190351,51.5387914,2,720,0
99,restaurants,Bonnington Café,-0.1200278,51.4846229,2,1110,1350
100,restaurants,Grumbles,-0.138889,51.491138,2,1080,1380
101,restaurants,Busaba Eathai,-0.151190757751465,51.514725174257,2,720,1380
102,restaurants,Maggie Jones's,-0.1909916674772,51.502856014927,2,1080,1380
103,restaurants,Ethos,-0.1390968,51.51638,2,480,1320
104,restaurants,The Jolly Butchers,-0.0733491,51.5623655,2,960,0
105,restaurants,Lowlander,-0.12241,51.514624,2,600,1320
106,restaurants,Ozone Coffee,-0.086674106560876,51.524683689256,2,450,1260
107,restaurants,Villandry,-0.143144858908866,51.5214563850873,2,450,1350
108,restaurants,Haché,-0.0804783,51.5266514,2,720,1350
109,restaurants,Wahaca's Mexican Street Kitchen,-0.116387934599604,51.507023783327,2,720,1380
110,restaurants,The Rainforest Cafe,-0.133634,51.510854,2,720,1320
111,restaurants,Chick n Sours,-0.0759780034422874,51.5415344238281,2,1080,1380
112,restaurants,Harrods' Tea Room,-0.16359383122593,51.4992262754487,2,600,1200
113,restaurants,Silk Road,-0.0896081,51.4739712,2,1020,1350
114,restaurants,The Castle,-0.20699787084123,51.50691920617,2,720,1380
115,restaurants,Alounak,-0.1910234,51.5156246,2,720,0
116,restaurants,Chiltern Firehouse,-0.154846859653053,51.5187121017659,2,1050,1350
117,restaurants,Pickle & Rye,-0.266688129485996,51.4683030502269,2,510,1290
118,restaurants,C & R Cafe & Restaurant,-0.132525,51.511171,2,720,1380
119,restaurants,Four Seasons,-0.187348,51.51257,2,720,1410
120,restaurants,Ffiona's Restaurant,-0.192783395566043,51.50405773515,2,1080,1380
121,restaurants,Best Mangal,-0.207411,51.491225,2,720,1410
122,restaurants,Big Easy,-0.1231134,51.5106735,2,720,1410
123,restaurants,The Ivy,-0.128013,51.512814,2,720,1410
124,restaurants,Selale,-0.099613956558125,51.5831363856466,2,480,120
125,restaurants,Zuma,-0.16315196998654,51.500949826679,2,1080,1320
126,restaurants,Asakusa,-0.138284,51.533923,2,1080,1410
127,restaurants,Le Mercury,-0.10271961840901,51.539763831626,2,720,60
128,restaurants,Ganapati,-0.073005378271727,51.469647326576,2,1080,1350
129,restaurants,Rocca,-0.176558382809162,51.4928759536943,2,690,1410
130,restaurants,The Colonel Fawcett,-0.136007736926076,51.5418041646628,2,720,0
131,restaurants,Wahaca,-0.1245423,51.5103409,2,720,1380
132,restaurants,Brass Rail Salt Beef Bar,-0.153764,51.514518,2,570,1260
133,restaurants,CUT at 45 Park Lane,-0.151611998677254,51.5063934326172,2,1080,1380
134,restaurants,Apero Restaurant and Bar,-0.175349,51.494372,2,390,1350
135,restaurants,Chai Ki,-0.017862532263166,51.5061226580201,2,1050,1380
136,restaurants,St. Moritz Restaurant,-0.135039,51.514529,2,1080,1410
137,restaurants,Wong Kei Restaurant,-0.132421,51.5115375,2,720,1410
138,restaurants,Wafflemeister,-0.1487016,51.5144262,2,600,0
139,restaurants,Nobu Berkeley St,-0.143449097152784,51.5084914741339,2,720,60
140,restaurants,Burger and Lobster,-0.094483494758606,51.5136669051182,2,720,1350
141,restaurants,The Dairy,-0.1395915,51.4618724,2,1080,1320
142,restaurants,Daddy Donkey Mexican Grill,-0.109436213063745,51.5206105839131,2,660,900
143,restaurants,The Wilmington,-0.11009303944619,51.526032086412,2,660,1380
144,restaurants,Burger and Shake,-0.125415,51.525005,2,720,1350
145,restaurants,ICCo,-0.136045,51.519545,2,420,1380
146,restaurants,Hoxton Grill,-0.0827283,51.5254782,2,420,0
147,restaurants,Mike's Café,-0.2056495177367,51.515863871511,2,600,1140
148,restaurants,The Warrington Hotel,-0.183075398850623,51.5272581650888,2,660,1380
149,restaurants,Efes,-0.058481630609315,51.5146603960192,2,600,0
150,restaurants,Sushi Surprise,-0.0810580000729546,51.5233667437201,2,1020,1260
151,restaurants,Star Kebab House,-0.1946912,51.4932627,2,690,180
152,restaurants,The English Restaurant,-0.076603889465332,51.5189580049569,2,480,1380
153,restaurants,Osteria Basilico,-0.2058905197699,51.515359633283,2,1110,1410
154,restaurants,Wahaca,-0.13376991245546,51.51333452102,2,720,1380
155,restaurants,Wagamama,-0.141947122753891,51.4967799888926,2,690,1320
156,restaurants,Eat Tokyo,-0.130327,51.513816,2,720,1410
157,restaurants,Masala Zone Soho,-0.137674604592006,51.513424266119,2,720,1380
158,restaurants,The Anchor and Hope,-0.10658608333864,51.503472834404,2,1080,1350
159,restaurants,Greedy Cow Burgers & Steaks,-0.034555228429624,51.525386204778,2,720,1350
160,restaurants,The Veggie Table,-0.090092,51.505092,2,720,1350
161,restaurants,Bibimbap,-0.131003,51.514512,2,1080,1380
162,restaurants,L'Atelier de Joël Robuchon,-0.128444,51.512985,2,1050,1380
163,restaurants,Momo,-0.1403264,51.5111056,2,1110,1380
164,restaurants,NOPI,-0.1385226,51.511617,2,1050,1350
165,restaurants,Electricity Showrooms,-0.080301875970497,51.527469891216,2,720,0
166,restaurants,Mari Vanna,-0.162390466864736,51.5018146470026,2,540,60
167,restaurants,Kua 'Aina,-0.139153003692627,51.5136635666908,2,600,1320
168,restaurants,Good Earth,-0.1684174,51.4968451,2,720,1380
169,restaurants,The Drunken Monkey,-0.0781917572021484,51.5226653030687,2,720,0
170,restaurants,Ravi Shankar,-0.13666,51.527081,2,720,1380
171,restaurants,Hi Sushi Salsa,-0.146770477294922,51.5400094905912,2,720,1350
172,restaurants,Chi Noodle,-0.1053698,51.5135092,2,690,1380
173,restaurants,Gaucho,-0.1780746,51.5574187,2,720,1380
174,restaurants,Caravan Kings Cross,-0.125370576153865,51.5357788239146,2,480,1350
175,restaurants,Yoobi,-0.136000007390976,51.5128974914551,2,690,1260
176,restaurants,Petek,-0.10959946621625,51.568311764628,2,720,1380
